language,ordered_letters
english_uk,etaoinsrhldcumfpgwybvkxjqz
spanish,eaosrnidlctumpbgyívqóhfzjéáñxúüwk
german,enisratdhulcgmobwfkzvüpäßjöyqx
french,esaitnrulodcmpévqfbghjàxèyêzçôùâûîœwkïëüæñ
italian,eaionlrtscdupmvghfbqzòàùìéèóykwxjô
dutch,enatirodslghvkmubpwjczfxy
greek,αοιετσνηυρπκμλωδγχθφβξζψ
russian,oeaинтсвлркдмпуëягбзчйхжшюцщeф
turkish,aeinrlıdkmuytsboüşzgçhğvcöpfjwxq
polish,iaeoznscrwyłdkmtpujlgębąhżśóćńfźvqx
esperanto,aieonlsrtkjudmpvgfbcĝĉŭzŝhĵĥwyxq
swedish,eantrslidomgkvähfupåöbcjyxwzéq
portuguese,aeosrinmdutlcphvqgfbãzçjáéxóõêôàyíèúo
norwegian,erntsilakodgmvfupbhøjyaaæcwzx
icelandic,anriestudhlgmkfhvoáthídjóbyæúöpéýcxwzq
hungarian,eatlnskomzrigáéydbvhj
slovak,aoesnitrvlkdmcupzyhjgfb
finnish,enatrsildokgmvfaauphäcböjyxzw
danish,enadtrslgiohmkvufbpøaejycéxqwèzüàóêçaaëä
czech,oeantivlsrdkupímcházyjbřêéĉžýŝũgfúňwďóxť
maori,aiketonuhrmwgp
latin,eituasrnomcpldqbgvfhxyk
irish,aihnretscoldgumbáfíéúópvjwykqz
welsh,ayndreiloghwtfuscmbpâô
gaelic,aihndercsgloutmbàfp
japanese,日一十二人大年会国三本長中五出事社市者月